year	origin	destination
2018	23023970500	23019010000
2018	23023970100	23019000200
2018	23023970301	23019000200
2018	23023970302	23019015000
2018	23023970301	23019000700
2018	23023970500	23019030000
2018	23023970400	23019000200
2018	23023970500	23019000300
2018	23023970301	23019015500
2018	23023970301	23019000200
2018	23023970500	23019030000
2018	23023970302	23019000700
2018	23023970500	23019015000
2018	23023970200	23019008001
2018	23023970301	23019000600
2018	23023970100	23019000500
2018	23023970301	23019006300
2018	23023970301	23019000700
2018	23023970301	23019012500
2018	23023970302	23019000200
2018	23023970400	23019006300
2018	23023970302	23019006300
2018	23023970301	23019006300
2018	23023970600	23019004100
2018	23023970400	23019000900
2018	23023970302	23019031100
2018	23023970301	23019006300
2018	23023970301	23019006300
2018	23023970302	23019006100
2018	23023970302	23019006300
2018	23023970301	23019000600
2018	23023970500	23019004100
2018	23023970700	23019000200
2018	23023970302	23019000900
2018	23023970100	23019000200
2018	23023970301	23019006300
2018	23023970302	23019006300
2018	23023970200	23019000600
2018	23023970500	23019006300
2018	23023970301	23019027000
2018	23023970200	23019013500
2018	23023970400	23019008001
2018	23023970301	23019002000
2018	23023970600	23019007100
2018	23023970301	23019006300
2018	23023970500	23019013000
2018	23023970400	23019029000
2018	23023970302	23019027000
2018	23023970400	23019000500
2018	23023970200	23019010000
2018	23023970500	23019000200
2018	23023970500	23019000700
2018	23023970301	23019006300
2018	23023970100	23019013000
2018	23023970100	23019006300
2018	23023970200	23019006300
2018	23023970302	23019006300
2018	23023970301	23019000400
2018	23023970302	23019000300
2018	23023970500	23019015000
2018	23023970301	23019010000
2018	23023970500	23019000400
2018	23023970302	23019000900
2018	23023970400	23019014000
2018	23023970301	23019000900
2018	23023970700	23019000600
2018	23023970500	23019000200
2018	23023970500	23019011000
2018	23023970302	23019006300
2018	23023970600	23019006300
2018	23023970100	23019004100
2018	23023970500	23019000500
2018	23023970301	23019031100
2018	23023970302	23019018000
2018	23023970200	23019015000
2018	23023970500	23019031100
