year	origin	destination
2018	6073007002	23031006101
2018	6073000600	23031034001
2018	6073008348	23031030202
2018	6073007502	23031030202
2018	6073000800	23031005400
2018	6073013000	23031023000
2018	6073021302	23031038001
2018	6073020024	23031038001
2018	6073009706	23031028002
2018	6073019101	23031022500
2018	6073002708	23031038001
2018	6073019804	23031025400
2018	6073016606	23031038001
2018	6073008341	23031030202
2018	6073009304	23031034001
2018	6073013312	23031038001
2018	6073002705	23031036002
2018	6073008507	23031036001
2018	6073008340	23031036001
2018	6073003207	23031030203
2018	6073018904	23031005400
2018	6073013312	23031027000
2018	6073016401	23031036001
2018	6073007100	23031038001
2018	6073019406	23031028002
2018	6073010014	23031031000
2018	6073018700	23031028002
2018	6073016701	23031034001
2018	6073018608	23031030202
2018	6073017037	23031034002
2018	6073018511	23031038001
2018	6073003401	23031025202
2018	6073017031	23031027000
2018	6073002301	23031030201
2018	6073022100	23031006101
2018	6073008354	23031034001
2018	6073019903	23031030201
2018	6073015703	23031025202
2018	6073004200	23031030300
2018	6073012800	23031037000
2018	6073016502	23031025400
2018	6073001000	23031030203
2018	6073008350	23031036001
2018	6073003800	23031030201
2018	6073020013	23031038001
2018	6073003207	23031030201
2018	6073013419	23031025201
2018	6073016615	23031037000
2018	6073009106	23031028002
2018	6073015701	23031030202
2018	6073018200	23031037000
2018	6073019203	23031024500
2018	6073008301	23031028002
2018	6073011000	23031025202
2018	6073008354	23031038001
2018	6073008363	23031030202
2018	6073003207	23031025400
2018	6073009201	23031030202
2018	6073005800	23031025202
2018	6073016702	23031034002
2018	6073019503	23031006102
2018	6073004501	23031030202
2018	6073008327	23031030100
2018	6073018507	23031038001
2018	6073019105	23031038001
2018	6073017040	23031006102
2018	6073008333	23031038001
2018	6073014001	23031028002
2018	6073020206	23031034001
2018	6073003901	23031027000
2018	6073008353	23031025202
2018	6073005500	23031030100
2018	6073003800	23031038001
2018	6073016502	23031025202
2018	6073013204	23031034002
2018	6073009102	23031030300
2018	6073008366	23031006101
2018	6073021100	23031025400
2018	6073002804	23031006102
2018	6073007903	23031035000
2018	6073008329	23031037000
2018	6073020806	23031036002
2018	6073017811	23031037000
2018	6073018802	23031037000
2018	6073008354	23031030202
2018	6073002202	23031022500
2018	6073014602	23031030202
2018	6073013314	23031027000
2018	6073019903	23031022500
2018	6073008353	23031028002
2018	6073002703	23031006101
2018	6073016616	23031005400
2018	6073008355	23031037000
2018	6073021303	23031032000
2018	6073019206	23031038001
2018	6073021600	23031030100
2018	6073008345	23031038001
2018	6073020308	23031036002
2018	6073018100	23031029000
2018	6073008343	23031025202
2018	6073003208	23031025202
2018	6073014001	23031030201
2018	6073010010	23031034002
2018	6073019301	23031038001
2018	6073021302	23031036002
2018	6073002712	23031028001
2018	6073018700	23031038002
2018	6073017022	23031027000
2018	6073018700	23031030201
2018	6083002928	23031032000
2018	6083000700	23031038001
2018	6083000101	23031006101
2018	6083002402	23031024500
2018	6083000200	23031036001
2018	6083003001	23031036002
2018	6083002926	23031030201
2018	6083002926	23031024500
2018	6083002012	23031038001
2018	6083002306	23031038001
2018	6083002924	23031024500
2018	6083001905	23031037000
2018	6083002702	23031028002
2018	6083002706	23031025400
2018	6083001306	23031006102
2018	6083002909	23031025202
2018	6083000900	23031006102
2018	6083002306	23031006101
2018	8041008000	23031028002
2018	8041006902	23031036001
2018	8041001600	23031038001
2018	8041000302	23031006102
2018	8041001600	23031005200
2018	8041006801	23031036002
2018	8041006100	23031030100
2018	8041004510	23031036002
2018	8041005000	23031037000
2018	8041005105	23031030202
2018	8041007201	23031028002
2018	8041005000	23031023500
2018	8041006802	23031024000
2018	8041005000	23031030202
2018	8041000301	23031030202
2018	8041001600	23031036001
2018	8041006000	23031036001
2018	8041005108	23031006101
2018	8041006000	23031027000
2018	8041005501	23031038001
2018	8041005106	23031022500
2018	8041003709	23031034001
2018	8041007400	23031024000
2018	8041005106	23031005400
2018	8041003707	23031038001
2018	8041005110	23031005300
2018	8041005108	23031038001
2018	8041005602	23031027000
2018	8041004511	23031030202
2018	8041001600	23031036002
2018	8041005111	23031024500
2018	8041004503	23031030203
2018	8041000600	23031034002
2018	8041004402	23031033000
2018	8041005601	23031030100
2018	8041007101	23031030300
2018	8041007800	23031024000
2018	8041001600	23031030300
2018	12033003608	23031037000
2018	12033002400	23031034002
2018	12033001001	23031032000
2018	12033001800	23031030201
2018	12033000800	23031038002
2018	12033001401	23031034002
2018	12033002802	23031037000
2018	12033002801	23031024500
2018	12033000100	23031025202
2018	12033002804	23031036002
2018	12033002804	23031030203
2018	12033003505	23031025400
2018	12033002801	23031028002
2018	12033003503	23031031000
2018	12033001300	23031030202
2018	12057013314	23031037000
2018	12057005900	23031023500
2018	12057011016	23031025202
2018	12057013208	23031030202
2018	12057011710	23031030201
2018	12057012301	23031034001
2018	12057013321	23031024500
2018	12057005500	23031034001
2018	12057011612	23031006101
2018	12057013310	23031038001
2018	12057003300	23031025201
2018	12057013505	23031034002
2018	12057005000	23031024000
2018	12057005000	23031030201
2018	12057012103	23031030201
2018	12057002500	23031037000
2018	12057013322	23031030202
2018	12057010900	23031030201
2018	12057013917	23031025202
2018	12057010107	23031038002
2018	12057013318	23031006102
2018	12057006900	23031025400
2018	12057011414	23031025202
2018	12057013919	23031030202
2018	12057012504	23031031000
2018	12057013801	23031038001
2018	12057005800	23031037000
2018	12057013312	23031028002
2018	12057001400	23031036001
2018	12057011901	23031030100
2018	12057011206	23031036002
